nameWithOwner,repo_age_days,primaryLanguage,merged_pull_requests,releases_total,stargazers,last_update_days,closed_issues_ratio
codecrafters-io/build-your-own-x,2854,Markdown,155,0,470943,0,0.737
sindresorhus/awesome,4252,None,694,0,441915,0,0.956
freeCodeCamp/freeCodeCamp,4086,TypeScript,27724,0,437668,0,0.9911
public-apis/public-apis,3634,Python,1872,0,402990,0,0.9976
EbookFoundation/free-programming-books,4525,Python,7328,0,383492,0,0.9715
kamranahmedse/developer-roadmap,3274,TypeScript,4057,1,350012,0,0.9893
jwasham/coding-interview-university,3556,None,415,0,337516,0,0.8648
donnemartin/system-design-primer,3291,Python,203,0,337106,0,0.3073
vinta/awesome-python,4266,Python,639,0,285255,0,0.0
awesome-selfhosted/awesome-selfhosted,3927,None,2395,1,276157,0,1.0
996icu/996.ICU,2533,None,1072,0,275602,0,0.0
practical-tutorials/project-based-learning,3246,None,182,0,259879,0,0.3596
openclaw/openclaw,98,TypeScript,2551,57,247762,0,0.6811
facebook/react,4665,JavaScript,12762,118,243430,0,0.9434
torvalds/linux,5293,C,0,0,220324,0,0.0
TheAlgorithms/Python,3516,Python,3046,0,218245,0,0.9048
vuejs/vue,4599,TypeScript,1136,249,209911,0,0.9642
trimstray/the-book-of-secret-knowledge,2809,None,122,0,208379,0,0.0
ossu/computer-science,4321,HTML,304,0,202033,0,0.982
trekhleb/javascript-algorithms,2900,JavaScript,304,0,195682,0,0.628
tensorflow/tensorflow,3768,C++,42177,221,193945,0,0.9786
ohmyzsh/ohmyzsh,6030,Shell,3512,0,185035,0,0.9718
getify/You-Dont-Know-JS,4489,None,370,0,184454,0,1.0
CyC2018/CS-Notes,2939,None,374,0,183763,0,0.7782
microsoft/vscode,3833,TypeScript,43112,196,182193,0,0.9427
Significant-Gravitas/AutoGPT,1082,Python,3939,93,182152,0,0.9373
jackfrued/Python-100-Days,2923,Jupyter Notebook,13,0,179172,0,0.2648
n8n-io/n8n,2445,TypeScript,13994,543,177231,0,0.9414
flutter/flutter,4014,Dart,46875,7,175405,0,0.8916
twbs/bootstrap,5330,MDX,9110,94,174005,0,0.9827
github/gitignore,5593,None,1727,0,172730,0,0.0
massgravel/Microsoft-Activation-Scripts,2241,Batchfile,5,29,167491,0,0.9967
avelino/awesome-go,4257,Go,3601,0,166364,0,0.9834
ollama/ollama,980,Go,3059,187,163849,0,0.7905
AUTOMATIC1111/stable-diffusion-webui,1288,Python,1884,27,161432,0,0.6958
jlevy/the-art-of-command-line,3939,None,317,0,159975,0,0.5271
huggingface/transformers,2681,Python,18697,243,157253,0,0.9423
Snailclimb/JavaGuide,2856,Java,1211,0,153971,0,0.9345
DigitalPlatDev/FreeDomain,641,HTML,1,0,150285,0,0.0
f/prompts.chat,1183,HTML,200,0,149732,0,0.9692
yt-dlp/yt-dlp,1953,Python,3227,130,149305,0,0.8372
airbnb/javascript,4869,JavaScript,813,0,148090,0,0.9285
langflow-ai/langflow,1118,Python,5730,282,145202,0,0.8914
521xueweihan/HelloGitHub,3589,Python,17,63,144453,0,0.9054
ytdl-org/youtube-dl,5601,Python,1646,341,139762,0,0.8646
vercel/next.js,3435,JavaScript,26073,1000,138073,0,0.9157
yangshun/tech-interview-handbook,3527,TypeScript,486,0,137945,0,0.6333
Genymobile/scrcpy,3023,C,123,50,136397,0,0.5517
labuladong/fucking-algorithm,2203,Markdown,244,0,132881,0,1.0
golang/go,4213,Go,1,0,132819,0,0.8659
langgenius/dify,1055,TypeScript,9654,158,130938,0,0.976
microsoft/PowerToys,2497,C#,6333,127,130167,0,0.7881
langchain-ai/langchain,1232,Python,16027,1000,127948,0,0.9742
x1xhlol/system-prompts-and-models-of-ai-tools,362,None,45,0,127267,0,0.545
Chalarangelo/30-seconds-of-code,3015,JavaScript,836,12,126923,0,1.0
open-webui/open-webui,878,Python,3307,152,125491,0,0.979
facebook/react-native,4070,C++,953,442,125483,0,0.9728
krahets/hello-algo,1214,Java,968,10,122583,0,0.9716
kubernetes/kubernetes,4287,Go,63934,784,120852,0,0.9624
electron/electron,4707,C++,24486,1000,120284,0,0.9654
ripienaar/free-for-dev,4002,HTML,2895,0,118192,0,0.0
excalidraw/excalidraw,2252,TypeScript,3834,14,117827,0,0.547
justjavac/free-programming-books-zh_CN,4501,None,282,3,116378,0,0.0
nodejs/node,4114,JavaScript,11873,483,116007,0,0.9125
anomalyco/opencode,306,TypeScript,2550,725,114365,0,0.5248
d3/d3,5635,Shell,494,194,112446,0,0.9955
iptv-org/iptv,2665,TypeScript,6818,0,112313,0,0.9856
mrdoob/three.js,5823,JavaScript,15225,175,111139,0,0.967
rust-lang/rust,5738,Rust,69483,146,110796,0,0.8195
axios/axios,4214,JavaScript,1134,109,108576,0,0.9596
rustdesk/rustdesk,1981,Rust,3941,35,108487,0,0.9835
microsoft/TypeScript,4276,TypeScript,14855,214,107995,0,0.8842
Hack-with-Github/Awesome-Hacking,3624,None,34,0,107622,0,0.0
shadcn-ui/ui,1153,TypeScript,1004,75,107567,0,0.7493
microsoft/generative-ai-for-beginners,987,Jupyter Notebook,521,0,107391,0,0.9757
godotengine/godot,4440,C++,41378,66,107239,0,0.788
GrowingGit/GitHub-Chinese-Top-Charts,2370,Java,0,0,106508,0,0.4723
