nameWithOwner,url,stars,releases_total,repo_age_years,primaryLanguage,loc,comment_lines,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,status,erro
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,80397,345,13.482191780821918,Java,455479,203539,5.47,4.0,6.4525,1.2831,1.0,0.7725,12.2095,0.0,108.485,ok,
krahets/hello-algo,https://github.com/krahets/hello-algo,125046,10,3.4328767123287673,Java,20805,7900,1.8592,2.0,1.5106,1.0,1.0,0.0,4.723,1.0,10.5058,ok,
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93863,0,11.676712328767124,Java,49824,58800,3.3682,3.0,2.6055,1.1981,1.0,0.5319,1.805,0.0,6.3026,ok,
macrozheng/mall,https://github.com/macrozheng/mall,83358,3,8.021917808219179,Java,65769,3050,3.9342,3.0,4.9669,1.2395,1.0,0.4392,1110.8039,13.0,8155.5552,ok,
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,59837,359,15.347945205479451,Java,850431,417047,5.2489,3.0,6.8219,1.4761,1.0,1.5251,29.5617,0.0,274.5508,ok,
termux/termux-app,https://github.com/termux/termux-app,53166,95,10.471232876712328,Java,26883,10645,5.9128,4.0,7.1871,1.4299,1.0,0.7042,60.8255,0.0,236.3712,ok,
google/guava,https://github.com/google/guava,51510,57,11.873972602739727,Java,510140,191338,4.2125,2.0,5.6911,1.8581,1.0,2.321,51.594,0.0,463.2434,ok,
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48351,258,13.257534246575343,Java,319266,82001,2.3338,1.0,5.1489,1.3222,1.0,0.8871,47.8836,0.0,1822.9146,ok,
skylot/jadx,https://github.com/skylot/jadx,48025,34,13.07123287671233,Java,148651,7808,4.3681,3.0,6.4796,1.6475,1.0,1.2381,32.2957,0.0,317.3018,ok,
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,45802,70,7.375342465753425,Java,68965,35710,7.3557,4.0,9.6041,1.1789,1.0,0.4543,55.8705,0.0,362.7635,ok,
apache/dubbo,https://github.com/apache/dubbo,41602,113,13.816438356164383,Java,303719,102537,5.4573,4.0,5.8918,1.2817,1.0,0.69,45.3152,1.0,437.7954,ok,
