repo_name,owner,language,stars,total_prs,url
freeCodeCamp,freeCodeCamp,TypeScript,444352,44932,https://github.com/freeCodeCamp/freeCodeCamp
openclaw,openclaw,TypeScript,369775,38905,https://github.com/openclaw/openclaw
developer-roadmap,nilbuild,TypeScript,354417,6000,https://github.com/nilbuild/developer-roadmap
vue,vuejs,TypeScript,209763,2370,https://github.com/vuejs/vue
n8n,n8n-io,TypeScript,187090,19861,https://github.com/n8n-io/n8n
vscode,microsoft,TypeScript,184694,54895,https://github.com/microsoft/vscode
opencode,anomalyco,TypeScript,156912,9202,https://github.com/anomalyco/opencode
dify,langgenius,TypeScript,140601,13121,https://github.com/langgenius/dify
tech-interview-handbook,yangshun,TypeScript,139394,587,https://github.com/yangshun/tech-interview-handbook
excalidraw,excalidraw,TypeScript,122764,5110,https://github.com/excalidraw/excalidraw
firecrawl,firecrawl,TypeScript,116897,2303,https://github.com/firecrawl/firecrawl
clash-verge-rev,clash-verge-rev,TypeScript,116599,1078,https://github.com/clash-verge-rev/clash-verge-rev
iptv,iptv-org,TypeScript,116034,7837,https://github.com/iptv-org/iptv
ui,shadcn-ui,TypeScript,113825,3095,https://github.com/shadcn-ui/ui
TypeScript,microsoft,TypeScript,108784,19121,https://github.com/microsoft/TypeScript
gemini-cli,google-gemini,TypeScript,103432,11028,https://github.com/google-gemini/gemini-cli
supabase,supabase,TypeScript,102065,20176,https://github.com/supabase/supabase
angular,angular,TypeScript,100063,35892,https://github.com/angular/angular
immich,immich-app,TypeScript,99969,10927,https://github.com/immich-app/immich
ant-design,ant-design,TypeScript,97960,22060,https://github.com/ant-design/ant-design
tailwindcss,tailwindlabs,TypeScript,94883,4233,https://github.com/tailwindlabs/tailwindcss
puppeteer,puppeteer,TypeScript,94271,7366,https://github.com/puppeteer/puppeteer
gstack,garrytan,TypeScript,91497,673,https://github.com/garrytan/gstack
storybook,storybookjs,TypeScript,89871,15739,https://github.com/storybookjs/storybook
playwright,microsoft,TypeScript,88256,19733,https://github.com/microsoft/playwright
NextChat,ChatGPTNextWeb,TypeScript,87941,2552,https://github.com/ChatGPTNextWeb/NextChat
mermaid,mermaid-js,TypeScript,87899,3303,https://github.com/mermaid-js/mermaid
servers,modelcontextprotocol,TypeScript,85275,2831,https://github.com/modelcontextprotocol/servers
realworld,realworld-apps,TypeScript,83390,917,https://github.com/realworld-apps/realworld
vite,vitejs,TypeScript,80463,8114,https://github.com/vitejs/vite
hoppscotch,hoppscotch,TypeScript,79135,3069,https://github.com/hoppscotch/hoppscotch
Stirling-PDF,Stirling-Tools,TypeScript,78401,4233,https://github.com/Stirling-Tools/Stirling-PDF
code-server,coder,TypeScript,77441,2158,https://github.com/coder/code-server
lobehub,lobehub,TypeScript,76327,6965,https://github.com/lobehub/lobehub
nest,nestjs,TypeScript,75423,10691,https://github.com/nestjs/nest
claude-mem,thedotmack,TypeScript,73651,850,https://github.com/thedotmack/claude-mem
grafana,grafana,TypeScript,73635,76809,https://github.com/grafana/grafana
superset,apache,TypeScript,72751,22279,https://github.com/apache/superset
screenshot-to-code,abi,TypeScript,72477,168,https://github.com/abi/screenshot-to-code
